0020  ; [*0209.0020.0002] # SPACE
0021  ; [*0267.0020.0002] # EXCLAMATION MARK
0022  ; [*031D.0020.0002] # QUOTATION MARK
0023  ; [*03AC.0020.0002] # NUMBER SIGN
0024  ; [.1F64.0020.0002] # DOLLAR SIGN
0025  ; [*03AD.0020.0002] # PERCENT SIGN
0026  ; [*03A9.0020.0002] # AMPERSAND
0027  ; [*0316.0020.0002] # APOSTROPHE
0028  ; [*0328.0020.0002] # LEFT PARENTHESIS
0029  ; [*0329.0020.0002] # RIGHT PARENTHESIS
002A  ; [*03A1.0020.0002] # ASTERISK
002B  ; [*0666.0020.0002] # PLUS SIGN
002C  ; [*0223.0020.0002] # COMMA
002D  ; [*020D.0020.0002] # HYPHEN-MINUS
002E  ; [*027E.0020.0002] # FULL STOP
002F  ; [*03A6.0020.0002] # SOLIDUS
0030  ; [.1F98.0020.0002] # DIGIT ZERO
0031  ; [.1F99.0020.0002] # DIGIT ONE
0032  ; [.1F9A.0020.0002] # DIGIT TWO
0033  ; [.1F9B.0020.0002] # DIGIT THREE
0034  ; [.1F9C.0020.0002] # DIGIT FOUR
0035  ; [.1F9D.0020.0002] # DIGIT FIVE
0036  ; [.1F9E.0020.0002] # DIGIT SIX
0037  ; [.1F9F.0020.0002] # DIGIT SEVEN
0038  ; [.1FA0.0020.0002] # DIGIT EIGHT
0039  ; [.1FA1.0020.0002] # DIGIT NINE
003A  ; [*0240.0020.0002] # COLON
003B  ; [*023A.0020.0002] # SEMICOLON
003C  ; [*066A.0020.0002] # LESS-THAN SIGN
003D  ; [*066B.0020.0002] # EQUALS SIGN
003E  ; [*066C.0020.0002] # GREATER-THAN SIGN
003F  ; [*026D.0020.0002] # QUESTION MARK
0040  ; [*03A0.0020.0002] # COMMERCIAL AT
0041  ; [.1FA2.0020.0008] # LATIN CAPITAL LETTER A
0042  ; [.1FBC.0020.0008] # LATIN CAPITAL LETTER B
0043  ; [.1FD6.0020.0008] # LATIN CAPITAL LETTER C
0044  ; [.1FEB.0020.0008] # LATIN CAPITAL LETTER D
0045  ; [.2007.0020.0008] # LATIN CAPITAL LETTER E
0046  ; [.2042.0020.0008] # LATIN CAPITAL LETTER F
0047  ; [.2051.0020.0008] # LATIN CAPITAL LETTER G
0048  ; [.2075.0020.0008] # LATIN CAPITAL LETTER H
0049  ; [.2090.0020.0008] # LATIN CAPITAL LETTER I
004A  ; [.20AB.0020.0008] # LATIN CAPITAL LETTER J
004B  ; [.20C4.0020.0008] # LATIN CAPITAL LETTER K
004C  ; [.20D6.0020.0008] # LATIN CAPITAL LETTER L
004D  ; [.2109.0020.0008] # LATIN CAPITAL LETTER M
004E  ; [.2118.0020.0008] # LATIN CAPITAL LETTER N
004F  ; [.213C.0020.0008] # LATIN CAPITAL LETTER O
0050  ; [.216B.0020.0008] # LATIN CAPITAL LETTER P
0051  ; [.2180.0020.0008] # LATIN CAPITAL LETTER Q
0052  ; [.2193.0020.0008] # LATIN CAPITAL LETTER R
0053  ; [.21D2.0020.0008] # LATIN CAPITAL LETTER S
0054  ; [.21F7.0020.0008] # LATIN CAPITAL LETTER T
0055  ; [.2217.0020.0008] # LATIN CAPITAL LETTER U
0056  ; [.2247.0020.0008] # LATIN CAPITAL LETTER V
0057  ; [.2259.0020.0008] # LATIN CAPITAL LETTER W
0058  ; [.2264.0020.0008] # LATIN CAPITAL LETTER X
0059  ; [.2270.0020.0008] # LATIN CAPITAL LETTER Y
005A  ; [.2286.0020.0008] # LATIN CAPITAL LETTER Z
005B  ; [*032A.0020.0002] # LEFT SQUARE BRACKET
005C  ; [*03A7.0020.0002] # REVERSE SOLIDUS
005D  ; [*032B.0020.0002] # RIGHT SQUARE BRACKET
005E  ; [*04B7.0020.0002] # CIRCUMFLEX ACCENT
005F  ; [*020B.0020.0002] # LOW LINE
0060  ; [*04B4.0020.0002] # GRAVE ACCENT
0061  ; [.1FA2.0020.0002] # LATIN SMALL LETTER A
0062  ; [.1FBC.0020.0002] # LATIN SMALL LETTER B
0063  ; [.1FD6.0020.0002] # LATIN SMALL LETTER C
0064  ; [.1FEB.0020.0002] # LATIN SMALL LETTER D
0065  ; [.2007.0020.0002] # LATIN SMALL LETTER E
0066  ; [.2042.0020.0002] # LATIN SMALL LETTER F
0067  ; [.2051.0020.0002] # LATIN SMALL LETTER G
0068  ; [.2075.0020.0002] # LATIN SMALL LETTER H
0069  ; [.2090.0020.0002] # LATIN SMALL LETTER I
006A  ; [.20AB.0020.0002] # LATIN SMALL LETTER J
